               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.018488,            0.035959,                   0,             0.81054,             0.86321,             0.82719,             0.43507,            0.036061,            0.054282,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018288,            0.036301,                   0,              0.7951,             0.87857,             0.82772,             0.46703,            0.035403,            0.054134,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018562,            0.035542,                   0,              0.8042,             0.87736,             0.83985,              0.4693,            0.035197,            0.054766,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018351,            0.036908,                   0,             0.81146,             0.87299,             0.83276,             0.45929,            0.035472,            0.055043,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018047,            0.034822,                   0,             0.83748,             0.84434,              0.8381,             0.46544,            0.035555,            0.054463,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018141,            0.033596,                   0,             0.84784,             0.84108,             0.85079,             0.47769,            0.035316,            0.052471,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018008,            0.034358,                   0,             0.83688,             0.86321,             0.85492,             0.48038,            0.035075,            0.053257,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017812,            0.034334,                   0,             0.82885,             0.86803,             0.85196,             0.47283,            0.035171,            0.053496,                   0,            0.001189,            0.001189,            0.001189
                  91,              0.0178,            0.033195,                   0,              0.8342,             0.85441,              0.8438,             0.47259,            0.035159,            0.054037,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017878,            0.034982,                   0,             0.87924,             0.81604,             0.84157,             0.47119,            0.034907,            0.054237,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017855,            0.033831,                   0,              0.8635,              0.8057,             0.83924,             0.46299,            0.035147,            0.055346,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017324,            0.033968,                   0,             0.85246,             0.81132,              0.8282,             0.46882,            0.034948,            0.055913,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017197,             0.03391,                   0,             0.86176,              0.8233,             0.83357,             0.46901,             0.03491,            0.055088,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017292,            0.034643,                   0,             0.82207,             0.84993,             0.82055,             0.44886,            0.035576,            0.056087,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017184,            0.033487,                   0,             0.85845,             0.80102,             0.82285,             0.44896,            0.035604,            0.056262,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017124,            0.032961,                   0,              0.7966,             0.86829,             0.82966,              0.4623,            0.035585,            0.055913,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016713,            0.032568,                   0,             0.85256,             0.80189,             0.82846,             0.46502,            0.035543,            0.055965,                   0,            0.000298,            0.000298,            0.000298
