                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0333,                0.59087,                  1.047,                0.78129,                0.87621,                0.89393,                0.50671,                 1.4501,                0.89146,                 1.2867,               0.002278,               0.002278,               0.002278
                     80,                 1.0214,                0.58793,                 1.0381,                0.84492,                0.82075,                0.89323,                0.49157,                 1.4612,                0.92487,                 1.2871,               0.002179,               0.002179,               0.002179
                     81,                 1.0336,                0.59065,                 1.0526,                0.80743,                0.83067,                0.88391,                 0.4812,                 1.4906,                0.88852,                 1.3163,                0.00208,                0.00208,                0.00208
                     82,                 1.0235,                0.58182,                 1.0414,                0.85167,                0.78774,                0.88111,                0.46431,                 1.5278,                0.90239,                 1.3268,               0.001981,               0.001981,               0.001981
                     83,                 1.0277,                0.58663,                 1.0479,                0.85517,                0.85849,                0.89697,                0.47719,                 1.4868,                0.86599,                 1.2874,               0.001882,               0.001882,               0.001882
                     84,                 1.0118,                0.58096,                 1.0406,                0.84499,                0.84906,                0.90649,                0.48569,                 1.5033,                0.85469,                 1.3247,               0.001783,               0.001783,               0.001783
                     85,                 1.0283,                 0.5819,                 1.0494,                0.83877,                0.83436,                 0.8909,                0.49992,                 1.4785,                0.87433,                 1.2854,               0.001684,               0.001684,               0.001684
                     86,                 1.0082,                  0.571,                 1.0422,                0.79091,                0.85377,                0.87665,                0.47032,                 1.4982,                0.91218,                 1.2925,               0.001585,               0.001585,               0.001585
                     87,                 1.0094,                0.56745,                 1.0362,                0.82486,                0.83491,                0.87977,                0.47645,                 1.4876,                0.89364,                 1.2981,               0.001486,               0.001486,               0.001486
                     88,                 1.0151,                0.57088,                 1.0428,                0.82956,                0.82075,                0.89206,                  0.498,                 1.4592,                0.86847,                 1.2689,               0.001387,               0.001387,               0.001387
                     89,                0.99332,                0.56014,                 1.0263,                0.79712,                0.85377,                0.89129,                0.48298,                  1.486,                0.88574,                 1.3027,               0.001288,               0.001288,               0.001288
                     90,                0.99356,                0.56322,                 1.0316,                0.80363,                0.86867,                0.89032,                0.49501,                 1.4617,                0.88042,                 1.3008,               0.001189,               0.001189,               0.001189
                     91,                 0.9792,                0.55593,                 1.0186,                0.80173,                0.86321,                0.90133,                 0.4907,                 1.4545,                0.87359,                 1.2898,                0.00109,                0.00109,                0.00109
                     92,                0.99423,                0.55917,                 1.0393,                0.88765,                0.78263,                0.90468,                0.48751,                  1.495,                0.88631,                 1.3203,               0.000991,               0.000991,               0.000991
                     93,                 0.9748,                0.55154,                 1.0235,                0.80147,                0.85693,                0.89739,                0.49178,                 1.4955,                0.88274,                 1.3134,               0.000892,               0.000892,               0.000892
                     94,                0.97145,                0.53696,                 1.0174,                0.77506,                0.87736,                0.89565,                0.48714,                  1.493,                0.88819,                 1.3193,               0.000793,               0.000793,               0.000793
                     95,                 0.9706,                0.53504,                  1.026,                0.78173,                0.87848,                0.89585,                0.49307,                 1.5055,                0.88524,                 1.3391,               0.000694,               0.000694,               0.000694
                     96,                0.96985,                0.54833,                 1.0231,                0.85421,                0.79245,                 0.8832,                0.48205,                 1.4994,                  0.913,                 1.3326,               0.000595,               0.000595,               0.000595
                     97,                0.97971,                0.54786,                  1.024,                0.78797,                0.85894,                0.87801,                0.48008,                 1.4968,                0.91725,                  1.334,               0.000496,               0.000496,               0.000496
                     98,                0.96011,                0.53742,                 1.0231,                0.78533,                0.88005,                0.89422,                0.48744,                 1.4972,                0.90732,                 1.3281,               0.000397,               0.000397,               0.000397
                     99,                0.96676,                0.53375,                  1.022,                0.76456,                0.88679,                0.89327,                0.48073,                 1.5116,                0.92006,                  1.343,               0.000298,               0.000298,               0.000298
