                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.5781,                 0.3017,                0.93245,                 0.8264,                0.78591,                0.82181,                0.49232,                 1.4976,                 1.0044,                 1.6758,               0.001783,               0.001783,               0.001783
                     85,                0.57604,                0.30002,                0.93541,                0.82922,                0.80189,                0.81648,                0.49256,                 1.4987,                0.98694,                 1.6602,               0.001684,               0.001684,               0.001684
                     86,                0.56776,                0.29793,                 0.9333,                0.80575,                0.84134,                0.81602,                0.48107,                 1.5388,                 1.0244,                 1.7127,               0.001585,               0.001585,               0.001585
                     87,                0.55724,                0.29131,                 0.9234,                0.78001,                0.83625,                0.81259,                0.47816,                 1.5082,                 1.0158,                 1.6733,               0.001486,               0.001486,               0.001486
                     88,                0.55066,                 0.2916,                0.92647,                0.76799,                0.85877,                0.83293,                0.49004,                 1.4959,                0.97971,                 1.6691,               0.001387,               0.001387,               0.001387
                     89,                0.53885,                0.28442,                0.91632,                0.83519,                0.83962,                0.84165,                0.49767,                 1.4765,                0.91646,                 1.6607,               0.001288,               0.001288,               0.001288
                     90,                0.53459,                0.28382,                0.91633,                0.84957,                0.81604,                 0.8465,                0.49672,                  1.492,                0.96041,                 1.6629,               0.001189,               0.001189,               0.001189
                     91,                0.52348,                0.27872,                0.90762,                0.85714,                 0.8066,                0.85721,                0.49826,                 1.5008,                 1.0042,                 1.6718,                0.00109,                0.00109,                0.00109
                     92,                0.52885,                0.27593,                0.91832,                0.79579,                0.88208,                0.86103,                0.50216,                 1.5089,                0.93104,                 1.6942,               0.000991,               0.000991,               0.000991
                     93,                0.51624,                0.27381,                0.91354,                0.81046,                0.88744,                0.85122,                0.49912,                 1.5084,                0.95363,                 1.6969,               0.000892,               0.000892,               0.000892
                     94,                0.50947,                0.26945,                0.90726,                0.82287,                0.85459,                0.85231,                0.48961,                 1.5172,                0.95203,                 1.7132,               0.000793,               0.000793,               0.000793
                     95,                0.50021,                0.26139,                0.90673,                0.85217,                 0.8429,                0.85097,                0.48979,                  1.555,                0.94226,                 1.7726,               0.000694,               0.000694,               0.000694
                     96,                0.51352,                0.27465,                0.91451,                0.83242,                0.84351,                0.85319,                0.49478,                 1.5392,                0.96902,                 1.7602,               0.000595,               0.000595,               0.000595
                     97,                0.51108,                0.26913,                 0.9107,                 0.8288,                0.83491,                0.83737,                0.49395,                 1.5444,                 0.9524,                 1.7587,               0.000496,               0.000496,               0.000496
                     98,                0.49249,                0.26333,                0.90504,                0.84951,                0.81604,                0.84253,                0.50393,                 1.5331,                0.94333,                 1.7518,               0.000397,               0.000397,               0.000397
                     99,                0.49533,                0.26135,                0.90822,                0.85235,                0.81692,                0.83942,                0.50052,                 1.5257,                 0.9354,                 1.7442,               0.000298,               0.000298,               0.000298
